Timestamp,Timestamp (ISO 8601),X,Y,Page
1763286255.823033,2025-11-16T15:14:15.823033,162,170,index_page_1
1763286255.869673,2025-11-16T15:14:15.869673,267,330,index_page_1
1763286255.916196,2025-11-16T15:14:15.916195,280,294,index_page_1
1763286256.008675,2025-11-16T15:14:16.008675,260,390,index_page_1
1763286256.056194,2025-11-16T15:14:16.056193,265,408,index_page_1
1763286256.104753,2025-11-16T15:14:16.104752,267,385,index_page_1
1763286256.150617,2025-11-16T15:14:16.150616,398,343,index_page_1
1763286256.196584,2025-11-16T15:14:16.196583,591,517,index_page_1
1763286256.243020,2025-11-16T15:14:16.243019,647,480,index_page_1
1763286256.290920,2025-11-16T15:14:16.290919,628,417,index_page_1
1763286256.337249,2025-11-16T15:14:16.337248,635,398,index_page_1
1763286256.383506,2025-11-16T15:14:16.383505,653,442,index_page_1
1763286256.430846,2025-11-16T15:14:16.430846,581,455,index_page_1
1763286256.516243,2025-11-16T15:14:16.516243,610,522,index_page_1
1763286256.570551,2025-11-16T15:14:16.570550,610,576,index_page_1
1763286256.617010,2025-11-16T15:14:16.617010,586,572,index_page_1
1763286256.663100,2025-11-16T15:14:16.663099,634,580,index_page_1
1763286256.709741,2025-11-16T15:14:16.709740,555,498,index_page_1
1763286256.802585,2025-11-16T15:14:16.802585,486,465,index_page_1
1763286256.849538,2025-11-16T15:14:16.849537,466,566,index_page_1
1763286256.896956,2025-11-16T15:14:16.896956,466,478,index_page_1
1763286256.942811,2025-11-16T15:14:16.942811,453,537,index_page_1
1763286257.020390,2025-11-16T15:14:17.020390,198,896,index_page_1
1763286257.068143,2025-11-16T15:14:17.068142,149,958,index_page_1
1763286257.115596,2025-11-16T15:14:17.115596,25,961,index_page_1
1763286257.162302,2025-11-16T15:14:17.162302,167,1080,index_page_1
1763286257.209433,2025-11-16T15:14:17.209433,35,1080,index_page_1
1763286257.302611,2025-11-16T15:14:17.302610,70,1080,index_page_1
1763286257.350185,2025-11-16T15:14:17.350185,54,1044,index_page_1
1763286257.396659,2025-11-16T15:14:17.396658,48,978,index_page_1
1763286257.444896,2025-11-16T15:14:17.444895,55,982,index_page_1
1763286258.428719,2025-11-16T15:14:18.428719,0,633,index_page_1
1763286258.504898,2025-11-16T15:14:18.504898,0,401,index_page_1
1763286258.554038,2025-11-16T15:14:18.554037,0,450,index_page_1
1763286258.600914,2025-11-16T15:14:18.600914,0,459,index_page_1
1763286258.645695,2025-11-16T15:14:18.645695,0,459,index_page_1
1763286258.694039,2025-11-16T15:14:18.694039,0,608,index_page_1
1763286258.747326,2025-11-16T15:14:18.747325,31,645,index_page_1
1763286258.786787,2025-11-16T15:14:18.786787,0,584,index_page_1
1763286258.833920,2025-11-16T15:14:18.833920,0,596,index_page_1
1763286258.881523,2025-11-16T15:14:18.881523,0,585,index_page_1
1763286258.927919,2025-11-16T15:14:18.927919,0,523,index_page_1
1763286258.991163,2025-11-16T15:14:18.991163,0,713,index_page_1
1763286259.037021,2025-11-16T15:14:19.037021,4,749,index_page_1
1763286259.147388,2025-11-16T15:14:19.147387,31,631,index_page_1
1763286259.195476,2025-11-16T15:14:19.195476,55,668,index_page_1
